Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
34.120.52.64,192.168.1.7,6,443,50266,81
192.168.1.7,34.120.52.64,6,50266,443,85
34.120.52.64,192.168.1.7,6,443,50266,54
192.168.1.7,20.198.119.143,6,49536,443,55
20.198.119.143,192.168.1.7,6,443,49536,66
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
192.168.1.7,20.187.186.89,6,50239,443,55
20.187.186.89,192.168.1.7,6,443,50239,66
192.168.1.7,40.79.156.133,6,49298,8883,85
40.79.156.133,192.168.1.7,6,8883,49298,85
192.168.1.7,40.79.156.133,6,49298,8883,54
34.120.52.64,192.168.1.7,6,443,50266,81
192.168.1.7,34.120.52.64,6,50266,443,85
34.120.52.64,192.168.1.7,6,443,50266,54
192.168.1.7,192.168.1.1,17,56449,53,91
